participant,trial,frame,t_ms,dot,x,y
01_SV,0,55,2800,4,624.0,454.0
01_SV,0,55,2800,5,544.0,569.0
01_SV,0,55,2800,6,265.0,445.0
01_SV,0,55,2800,7,1227.0,246.0
01_SV,0,55,2800,8,916.0,435.0
01_SV,0,55,2800,9,209.0,1331.0
01_SV,0,56,2850,0,759.0,324.0
01_SV,0,56,2850,1,1082.0,1043.0
01_SV,0,56,2850,2,1072.0,604.0
01_SV,0,56,2850,3,929.0,1166.0
01_SV,0,56,2850,4,635.0,451.0
01_SV,0,56,2850,5,542.0,580.0
01_SV,0,56,2850,6,259.0,436.0
01_SV,0,56,2850,7,1219.0,239.0
01_SV,0,56,2850,8,916.0,435.0
01_SV,0,56,2850,9,199.0,1327.0
01_SV,0,57,2900,0,762.0,335.0
01_SV,0,57,2900,1,1090.0,1051.0
01_SV,0,57,2900,2,1066.0,613.0
01_SV,0,57,2900,3,934.0,1176.0
01_SV,0,57,2900,4,646.0,448.0
01_SV,0,57,2900,5,540.0,591.0
01_SV,0,57,2900,6,254.0,426.0
01_SV,0,57,2900,7,1219.0,239.0
01_SV,0,57,2900,8,908.0,427.0
01_SV,0,57,2900,9,189.0,1323.0
01_SV,0,58,2950,0,765.0,346.0
01_SV,0,58,2950,1,1098.0,1059.0
01_SV,0,58,2950,2,1060.0,622.0
01_SV,0,58,2950,3,939.0,1186.0
01_SV,0,58,2950,4,657.0,445.0
01_SV,0,58,2950,5,539.0,602.0
01_SV,0,58,2950,6,249.0,416.0
01_SV,0,58,2950,7,1227.0,246.0
01_SV,0,58,2950,8,901.0,419.0
01_SV,0,58,2950,9,179.0,1319.0
01_SV,0,59,3000,0,768.0,357.0
01_SV,0,59,3000,1,1106.0,1067.0
01_SV,0,59,3000,2,1053.0,631.0
01_SV,0,59,3000,3,944.0,1196.0
01_SV,0,59,3000,4,668.0,442.0
01_SV,0,59,3000,5,538.0,613.0
01_SV,0,59,3000,6,244.0,406.0
01_SV,0,59,3000,7,1235.0,253.0
01_SV,0,59,3000,8,894.0,411.0
01_SV,0,59,3000,9,169.0,1315.0
01_SV,0,60,3050,0,771.0,368.0
01_SV,0,60,3050,1,1114.0,1074.0
01_SV,0,60,3050,2,1046.0,640.0
01_SV,0,60,3050,3,949.0,1206.0
01_SV,0,60,3050,4,679.0,439.0
01_SV,0,60,3050,5,536.0,624.0
01_SV,0,60,3050,6,239.0,396.0
01_SV,0,60,3050,7,1243.0,260.0
01_SV,0,60,3050,8,887.0,403.0
01_SV,0,60,3050,9,159.0,1311.0
01_SV,0,61,3100,0,774.0,379.0
01_SV,0,61,3100,1,1122.0,1081.0
01_SV,0,61,3100,2,1040.0,649.0
01_SV,0,61,3100,3,954.0,1216.0
01_SV,0,61,3100,4,690.0,436.0
01_SV,0,61,3100,5,534.0,635.0
01_SV,0,61,3100,6,234.0,386.0
01_SV,0,61,3100,7,1251.0,267.0
01_SV,0,61,3100,8,880.0,394.0
01_SV,0,61,3100,9,149.0,1307.0
01_SV,0,62,3150,0,776.0,390.0
01_SV,0,62,3150,1,1130.0,1088.0
01_SV,0,62,3150,2,1033.0,658.0
01_SV,0,62,3150,3,959.0,1226.0
01_SV,0,62,3150,4,701.0,434.0
01_SV,0,62,3150,5,533.0,646.0
01_SV,0,62,3150,6,229.0,376.0
01_SV,0,62,3150,7,1260.0,274.0
